Hr & Fru Paps Vin & Tapas,Lise-Lotte M,20. november 2021,"Udemærket mad, men intet ekstra ordinært. Fik take away til 4 personer. Masser af lækkert brød. Savnede en lun ret på tallerknen.",3,Kolding
Hr & Fru Paps Vin & Tapas,Tineleneane,17. november 2021,"God mad og vin til fin pris. Til gengæld var lokalet ikke ret hyggeligt, personalet nærmest surt og der manglede vinkort",3,Kolding
Hr & Fru Paps Vin & Tapas,Michael B,31. oktober 2021,"En dejlig aften med god tapas. Supergodt koncept at kunne bede om mere, hvis der skulle være noget, man kunne spise mere af. Jeg kunne måske godt have tænkt mig en varm ret mere udover den fremragende sup ",4,Kolding
Hr & Fru Paps Vin & Tapas,239mikkelj,24. oktober 2021,"Go tapas og vin, go service, rigtig hyggeligt sted med en go stemning til en fornuftig pris kan varmt anbefales",4,Kolding
Hr & Fru Paps Vin & Tapas,TM2205,7. august 2021,"Ok Tapas, super service.
Super venlig betjening. Forstår ikke hvordan dette kan være det bedste spisested i Kolding, maden er gennemsnitlig, på niveau med mange andre Tapas restauranter.",3,Kolding
Hr & Fru Paps Vin & Tapas,82dittef,1. august 2021,"Dejlig lille restaurant med service i top og super lækker mad, og rigeligt af den.
Absolut et sted man har lyst til at komme tilbage til",5,Kolding
Hr & Fru Paps Vin & Tapas,michaelsP2435ZD,30. juli 2021,Fin tapas i fine mængder. Skinke og pølse i god kvalitet. Meget lækkert brød. Men lidt ordinært. Der kunne godt være en lun ret der overraskede.,3,Kolding
Hr & Fru Paps Vin & Tapas,lindgaardskals,28. juli 2021,"Sjældent har jeg besøgt så hyggelig og fredelig en restaurant, måske fordi maden lægger op til et voksent publikum. Maden er givet på forhånd - tapas, det eneste man skal beslutte er drikkevarer. Man kan løbende få fyldt op på tapasbrættet, hvis man løber tør for noget.",5,Kolding
Hr & Fru Paps Vin & Tapas,Michael v,24. juli 2021,"Rigtig god mad. Menuen er fast. Forret og tapas. Men rolig, man er i gode hænder. Betjeningen er supervenlig. Klart et sted jeg vil besøge igen",5,Kolding
Hr & Fru Paps Vin & Tapas,louisesL337NE,17. april 2021,Veltilberedt tapas med 3 slags brød. Virkelig godt. Flere slags pølse og skinke. 2 slags ost. Tunmusse på blinis og lækker rygeoste mayo og pesto og soltørrede tomater og løg og hjemmegjorte syltede agurker. Lækkert anrettet.,4,Kolding
Hr & Fru Paps Vin & Tapas,Jonathan S,"September 21, 2017","This is a tapas bar with a difference. Firstly, don’t expect any choice with the food. There isn’t any. They change the menu once a month but you have no choice. On the night we were there the theme was local Danish fare. A little...More",5,Kolding
Hr & Fru Paps Vin & Tapas,Klaas P,"September 7, 2017","this is a restaurant with a simple but very pleasurable concept. Because it is so simple, one plate of tapas that can for the large part be prepared, the owners can give you all attention, if you want. Wine you pay for what you drink,...More",5,Kolding
Hr & Fru Paps Vin & Tapas,walkingWakefieldUk,"September 3, 2017","I then had a paella as my main dish. This was excellent, the only downside that I had to leave some as it was too large. Also the bill for meals in Denmark for a good meal was one of the cheapest ones. it overlooks...More",4,Kolding
Hr & Fru Paps Vin & Tapas,allant813,"August 11, 2017",The menu is set so no choices to make. All tapas are good quality. All were great for me and my family (incl. 11 year old). Very relaxed atmosphere. My best recommendations.,4,Kolding
Hr & Fru Paps Vin & Tapas,mats_swiss,"August 3, 2017",a lovely restaurant with very good food (nordic tapas). the owners are very friendly and helpfull! very good wine recommendations.,5,Kolding
Hr & Fru Paps Vin & Tapas,GarethW1988,"June 20, 2017","Food delicious and novel, wine suggestions and selection wonderful. Great hosting by the owner and great policy on wine. Would visit again without question.",5,Kolding
Hr & Fru Paps Vin & Tapas,michelevanwonterghem,"May 17, 2017","You enter the restaurant and the first thing you notice is the interior: a nice blend between modern and rustic. We didn't have a reservation, but were pretty early so there was no problem. This place doesn't have your typical menu to choose from, but...More",5,Kolding
Hr & Fru Paps Vin & Tapas,Idakjepsen,"February 2, 2017","Warm host couple with a true passion for food, wine and a great atmosphere. The food is to die for, tasty, good quality tapas in different varieties. Good vine selection and good tips about what to choose. Homemade pesto, hummus and bread as an example!",5,Kolding
Hr & Fru Paps Vin & Tapas,Peter V,"November 3, 2016","The restaurant is run by a middle aged couple with good sense for tasty food and fine wines. If you order wine, you get the whole bottle and pour yourself (which of course can be tricky, if you like the wine a lot ...). You...More",4,Kolding
